Job Role,Industry Size,Duration ,Rating Overall,Review Title,Overall,Pros,Cons
Director,"E-Learning, 11-50 employees",Used the software for: 6-12 months,,"""Microsoft Azure Review""","I appreciate the versatility and expandability of Microsoft Azure. Its broad selection of tools and services enable developers to create and launch applications, and its global network of data centers can fulfill high availability and data residency prerequisites. Furthermore, Azure's integration with data and AI technologies can assist companies in unlocking valuable insights from their data, leading to business growth. I am also impressed by the excellent assistance provided by the support team. Although I faced several issues initially, the support team was courteous enough to address all of my concerns and resolve them effectively.","One issue I have with Azure is that the pricing for some services can be challenging to comprehend and compare with other cloud providers. Additionally, the user experience may be overwhelming for beginners compared to other cloud providers due to the complexity of Azure's broad range of services. This is not to say that the platform is inherently flawed, but rather that it may be challenging to consolidate all of its services into a single location.",
Service Engineer,"Information Technology and Services, 11-50 employees",Used the software for: 6-12 months,,"""Use this if you're looking for a solid cloud solution for your business! ""","For me continuing my knowledge and learning of Azure, I find that the Azure Portal is easy to navigate, with many helpful hints along the way. If you can't find what you're looking for, there's a search bar at the top of the screen at all times to find it for you. Outside of user navigation, spinning up a vm, uploading a custom ARM template, creating a Synapse Analytics workspace, or whatever resource you need, Azure has for you.","Can be a bit pricey to start if you're doing the lift and shift method for a migration project. It would be better to re-architect your infrastructure prior to the migration, as Microsoft is quite proud of Azure.",
Executive Director,"Information Technology and Services, 11-50 employees",Used the software for: 6-12 months,,"""Another powerful cloud computing platform giving $200 trial credit to every new customer!""",Simple awesome. Just as I expected from Microsoft,"I use Azure's Virtual machines, cloud drives and Cpanel servers. Believe it or not, they performed better than Google cloud's similar products. The amazing thing is that you can use basic versions of most of their products free using their trial credit. Most products offer hourly billing so you pay only for the time you needed which is great for occasional needs",Small businesses or individuals with regular basic needs may find products Little expensive.
"Computer Software, 11-50 employees",Used the software for: 2+ years,,,"""There is no other choice for MSPs--it's Azure""",Amazing.  Wouldn't ever leave it,Microsoft Azure is far and away the best platform for any Managed Service Provider looking to bring their SMB customers to the cloud. The power and simplicity of the platform is unparalleled.,Oftentimes the native tools can be a bit confusing; make sure to investigate 3rd party options to make the management plane easier.
"Computer Software, 11-50 employees",Used the software for: 2+ years,,,"""Been a user for 5+ years""","As a development software company, I just can't imagine ourselves w/o Azure. They provide all the tools I need with an amazing quick access. The price is scalable so our costs are always under control.",The old interface was the main reason as to why I started on Azure rather an AWS. I always though the Amazon interface was too complicated for such a simple task. Azure made it look so much simpler. The newer UI was buggy and slow but they've managed to fix it and it now provides the right information in the right amount of clicks. I was also called by 'Customer success' team and they gave me useful information on features I was not using yet. All in all a great product. Cant go wrong choosing Azure.,"At the beginning I really disliked the new UI. Its been a year (maybe more) since that happened so I kinda got used to it but still, not the best in the market. It could be improved by a huge margin."
IT MANAGER,"Oil & Energy, 51-200 employees",Used the software for: 2+ years,,"""We use this service to handle critical applications in our company.""",I have an application that is always available. The services respond very fast.,"I like its stability. In the years that we have been using we have not seen a flaw in our application because the service has stopped. This service offers a good amount of environments and the apps are compatible with Windows and work quite well. I like reports of application failures, because they come very close to the moment they occur. I like the services offered in AD.","I think it's expensive. I notice that the services in other platforms that are not microsoft, are limited. I do not like that the service logs do not report in detail what happens when something fails, they are not integrated with the applications. Online help services are slow. When you select a service the details of them are not very clear, for example they are very basic and let the user suppose some things that should be explicitly explained."
"Management Consulting, 51-200 employees",Used the software for: 6-12 months,,,"""Uso personal y empresarial""","Como entusiasta de la tecnologÃ­a y desarrollador de software, he descubierto los beneficios de utilizar Azure para el cÃ³mputo en la nube tanto en mi vida personal como profesional. En mi tiempo libre, utilizo Azure para ejecutar diferentes programas que requieren caracterÃ­sticas especÃ­ficas de una computadora.Por ejemplo, tengo un proyecto de aprendizaje automÃ¡tico que necesita un gran poder de procesamiento y capacidad de almacenamiento. En lugar de invertir en una costosa infraestructura de hardware, utilizo Azure para crear mÃ¡quinas virtuales con la potencia de cÃ³mputo necesaria y el espacio de almacenamiento requerido. Esto me permite experimentar y desarrollar mis proyectos sin tener que preocuparme por las limitaciones de mi propia computadora.AdemÃ¡s, Azure tambiÃ©n me brinda la flexibilidad de ajustar los recursos de cÃ³mputo segÃºn sea necesario. Si estoy trabajando en un proyecto intensivo en recursos, puedo aumentar rÃ¡pidamente la capacidad de la mÃ¡quina virtual y aprovechar los recursos adicionales disponibles en Azure. Esto me permite ahorrar tiempo y mejorar la eficiencia de mis procesos de desarrollo.En mi trabajo, tambiÃ©n utilizo Azure para conectarme a computadoras virtuales operadas por este servicio. Como parte de un equipo de desarrollo distribuido, necesitamos compartir y colaborar en proyectos de software de manera eficiente. Con Azure, podemos crear mÃ¡quinas virtuales compartidas donde todos los miembros del equipo pueden acceder y trabajar en el mism","escalabilidad,seguridad, flexibilidad, claridad","costo, rendimiento variable, necesitas un buen internet"
Developpeur Python Backend,"Computer Software, 1-10 employees",Used the software for: 1-2 years,,"""Mon Avis su MS Azure""","En tant que solution cloud, j'ai particuliÃ¨rement apprÃ©ciÃ© la flexibilitÃ© qu'offre Microsoft Azure. Les fonctionnalitÃ©s sont conÃ§ues pour rÃ©pondre aux besoins de diffÃ©rents types d'entreprises, qu'il s'agisse d'une petite entreprise ou d'une entreprise de diffÃ©rents types d'entreprises, qu'il s'agisse d'une petite entreprise ou d'une entreprise de grande envergure.","la flexibilitÃ© et l'Ã©volutivitÃ© de la plateforme, les outils intÃ©grÃ©s pour le dÃ©veloppement, le stockage, la gestion et l'analyse des donnÃ©es, ainsi que la sÃ©curitÃ© et la conformitÃ© avec les normes du secteur, mais aussi l'environnement de dÃ©veloppement intÃ©grÃ©, les outils de de collaboration et les notifications en temps rÃ©el sont autant de choses que j'apprÃ©cie sur ce logiciel.","MalgrÃ© de nombreuses qualitÃ©s il y a aussi des inconvÃ©nients potentiels. Il y'a certaines difficultÃ©s Ã  l'intÃ©grer Ã  d'autres systÃ¨mes, des temps de rÃ©ponse lents et des interruptions de service. Certaines fonctionnalitÃ©s peuvent Ã©galement Ãªtre relativement complexes Ã  utiliser pour les dÃ©butants. En outre, j'ai trouvÃ© que certaines fonctionnalitÃ©s ne sont pas disponibles sur la plateforme ou qu'elles pourraient Ãªtre amÃ©liorÃ©es."
"Retail, 51-200 employees",Used the software for: 2+ years,,,"""Great product with lots of features """,Overall I'm so happy with the product as it gives us full control over everything which is needed.,"The best part of the product is the continuous improvement that they make on the features, plus the thousands of features it has.",Sometimes deploying parts is a little confusing based on the guides that makes you search on other resources for tutorials.
Developer,"Computer Software, 1-10 employees",Used the software for: 2+ years,,"""Azure is a great tool for developers and companies looking to move to the cloud""",Azure made moving my on-site hardware into the cloud very easy.  Their support staff is second to none.,I like not having to manage my own hardware.  The savings can be substantial.,The cost of storage eats away at the budget quickly and can be sneaky.
Director,"Financial Services, 501-1000 employees",Used the software for: 6-12 months,,"""Azure - Agile""","It's a steep learning curve, once you learn how to use Azure it's a good tool to use to track your Agile process.","A good way to track your Agile process, easy to set up PBI's.  Easy to attach docs to the PBI and prioritize each of the items. 
I like the way it tracks all of the changes made in the PBI, easy to see who made changes to the PBI.","Is not a user friendly tool for folks new to the Agile process, if an item is not complete in the current sprint it's confusing to track in the next sprint as it creates duplicate PBI's.  I think if you are seasoned at using Agile this would be a good tool."
Co Founder,"Computer Software, 11-50 employees",Used the software for: 2+ years,,"""A competitive and complete platform""",It is a very complete platform once you are familiarized with Microsoft products. I've been working on azure for 4+ years and it is a very efficient platform.,"You have everything there, once you start to use Azure you will notice that you don't need any third-party service, Azure have everything you need to deploy and run your system/platform.

I haven't needed something that Azure does not have.","If you are not experienced in managing platforms like this, you will be lost trying to find out how to make some implementations and wich service use, which service is the best option for your need, once you figure out how Azure works you will be deploying services there in no time.
Also, the cost is not very cheap if you are a startup company, for those companies would be expensive."
Software Architect,"Internet, 11-50 employees",Used the software for: 2+ years,,"""Excellent cloud hosting, packed with features""","Overall Microsoft Azure has been a great hosting solution for us. We have used several of their backend services - file storage, database hosting, app service hosting and all have been quite reliable and generally are pretty low cost.","Azure has a solution for pretty much any cloud related scenario you can think of - Virtual Machines, Serverless functions, databases, website hosting, queueing, you name it. The pricing for these services is generally pretty attractive as well, you can host a site with various backend components for not too much money.","It seems like Azure renames a number of services on a yearly basis so it can be tough to keep track of what is what- you need to stay on top of it. The usability with its ""blade"" interface is generally okay but with some features, you can find yourself several blades deep and it can be confusing at times."
Co Founder,"Computer Software, 11-50 employees",Used the software for: 2+ years,,"""Good platform but expensive""","since I'm the Azure cloud administration in my job, I had to read a lot to manage it, now that I understand the Azure concept, is very complete, as I said, ""play with expensive toys""","you have everything there, if you want Virtual machines, you have them there, if you want to publish your page as a service Azure can do it.
Azure is a really complete platform where you can find what you need as developer or as a company that manage software projects.","Is very expensive, is true that you have everything there but is really expensive, I mean, if you are a startup you can't afford it.

Is kind of complicated to manage, even the official azure documentation is complicated to understand so if you want to administrate it in an eficient way, you MUST take a certification or something like that.

in conclusion, if you have the opportunity to use it is like ""play with expensive toys"""
"Computer Software, 51-200 employees",Used the software for: 2+ years,,,"""Overall the best cloud platform""","Azure is comprehensive and holistic - you don't have to micromanage resources like you do in Google, Amazon, IBM or Heroku.
The web interface is a strength to me where others have complained that it is difficult, I find it fairly easy to learn and understand. By comparison - Amazon's console is pretty hard to navigate through and multi-task.
APIs and tools are robust and comprehensive.  Literally anything can be scripted or automated without needing to do a lot of setup on your local machine.
Azure is the most cross-platform compatible and inclusive of any cloud provider - what I mean by that is that you can provision manage and automate just about any technology platform in Azure *from* any platform.","As others have noted, the billing can be difficult to measure and predict.  You just kind of have to try it and see.",
Security Engineer,"Information Technology and Services, 11-50 employees",Used the software for: 2+ years,,"""You get a lot, but also a lot you do not need.""",I have a very pleasant experience with Microsoft Azure. Most of the time I only use Microsoft Sentinel because we provide this as a service to our customers.,Pay-As-You-Go enables that you only pay for what you are using. Also the security features within all solutions of Microsoft Azure e.g. Microsoft Sentinel helps you very much.,"The dashboard, the UI could be more user friendly. It is specifically designed for Administrators to use, and even me as an administrator I find it somehow difficult sometimes to find some settings. Luckily in most of the cases the documentation on Microsoft Learn helps you out."
Small Business Owner,"Food & Beverages, 1-10 employees",Used the software for: 2+ years,,"""Microsoft Azure Review ""","Overall, it's really one if amazing product of Microsoft and a must use for added value and Effeciency in business or work.",I really like Microsoft Azure because it's a very complex tool. It has very useful features needed for easier business operations. It does almost everything. It's also cheap and easy to use when you're using other Microsoft products and actually integrates well.,"One thing I might want to say to anyone who are considering of purchasing it, it's a bit expensive when you are not using other Microsoft products and a bit hard to use too if you have no idea with Microsoft."
Business Owner,"Hospitality, Self-employed",Used the software for: Less than 6 months,,"""Impossible To Set Up""","I have heard amazing things about Azure, but more support and ease of use is required to understand the full features and optimization of this platform.",I was not able to successfully figure out how to set up Azure for my website. I ended up switching to a different platform.,"I do not recommend Azure unless you have serious technical skills, as an elderly person, this was too complicated for the business needs I have. It was too frustrating waiting for the slow response time from customer service so I switched."
Diretor de tecnologia,"Internet, Self-employed",Used the software for: Less than 6 months,,"""Uma das melhores opÃ§Ãµes de cloud computing""",JÃ¡ utilizei conta de estudante para explorar a ferramenta. Atualmente utilizo em projetos de pequenas empresas que presto consultoria e soluÃ§Ãµes internas da minha empresa.,"Azure Ã© uma das melhores opÃ§Ãµes de cloud computing, oferecendo diversos tipos de soluÃ§Ã£o tais como banco de dados, mÃ¡quinas virtuais, redes virtuais privadas, entre outros, concorre de maneira igual com outros players desse ramo. Uma das caracterÃ­sticas mais interessantes Ã© oferecer opÃ§Ãµes de implantaÃ§Ã£o em datacenters no Brasil (SÃ£o Paulo) reduzindo assim a latÃªncia do acesso de quem estÃ¡ no mesmo paÃ­s. Outra caracterÃ­stica que merece aplausos Ã© o fornecimento de contas de teste gratuitas para estudantes da Ã¡rea de TI, permitindo que esses possam explorar os recursos e capacidades da ferramenta.","Configurar quaisquer recursos nÃ£o Ã© tÃ£o trivial, requer conhecimentos tÃ©cnicos na Ã¡rea de redes e infraestrutura. NÃ£o serÃ¡ qualquer usuÃ¡rio leigo que vai conseguir fazer o trabalho de um administrador de redes utilizando a interface do azure. E, mesmo profissionais mais experientes em redes internas corporativas (ambientes on-premise) podem precisar de uma reciclagem para passar a utilizar o produto. Mas uma vez que vocÃª tenha uma noÃ§Ã£o do que estÃ¡ fazendo as interfaces sÃ£o relativamente intuitivas."
Analyst,"Information Technology and Services, 10,001+ employees",Used the software for: 2+ years,,"""Importance of Azure""",4 years,It helped us to reduce the cost of physical storage. It is also enabled us to deploy a working infrastructures to new employees.,UI could be improved with more instructions for each function for a newbie using the software.
Tecnico IT,"Information Technology and Services, 51-200 employees",Used the software for: 1-2 years,,"""La mejor cloud : Microsoft Azure""","Sin quejas, totalmente feliz con que este sea mi servicio en la nube favorito","Su funcionalidad es realmente impresionante, tiene de todo y ademas de actualizar el software a un hardware mas adecuado a lo que querramos implementar.","algunos servicios exceden del presupuesto pero sobre todo yo mejoraria en la conexion del producto, que fuera un poco mas rapido ayudaria mucho en el trabajo."
IT specialist,"Oil & Energy, 1001-5000 employees",Used the software for: 2+ years,,"""Feature Rich Enterprise Platform Service""",My favorite benefits are single sign-on setup for all of our various softwares and role based permissions for our IT personnel so that we can protect our network and our intellectual property.,"I can login to the Azure portal and manage my users, computers, security, single sign-on, restrict and or grant permissions based on roles, use the data analytics tools, etc. All in one place!",This product isn't a full replacement for an on-prem domain controller (yet).  We hope to eventually use Azure as Infrastructure as a Service.
Infrastrucure Specialist,"Real Estate, 201-500 employees",Used the software for: 6-12 months,,"""A powerfull platform""",We started using Azure for both infrastructure and Active directory. We are impressed by its funcionalities and flexibility,Azure is extremelly costumizable and can bend to every necessity a company might have. You can find a solution for almost every problem,"It is not very user friendly, and you need a background in networking to use it properly. I suggest to have a specific training for every admin that is approaching this tool for the first time"
GCU Computing Science Student,"Computer Software, Self-employed",Used the software for: 1-2 years,,"""Best Cloud Software available""","The best thing about using microsoft azure is that the security is one of its main focus points. It has the main security model but also incorporates cyber security protocols. Azure is also very scalable, which makes it easier for businesses to pay for only what they use.","The only main downside to this software is that you need to be highly experienced with this software, as without the main knowledge of azure it is harder for users to keep everything running smoothly.",
"Computer Software, Unspecified",Used the software for: 1-2 years,,,"""A top notch ecosystem and which is transforming everyday""","Security, reliability and cost saving","Microsoft azure provides an efficient alternative to AWS  ecosystem. With large presence of existing Microsoft product across the board helped us integrating Azure to the overall ecosystem. Azure provides equivalent competitive alternatives which made us more capable in our development path. Though there are other competitors but I think in terms of breadth of service Azure is growing the fastest.Azure is a heaven for loyal MS developers. Deploying, computing with .net technologies so easy that you will not feel any difference. Publishing application with Microsoft shop is unbelievably simple and worry free.If you think for an Hybrid IS environment Azure can give you a lot of more option.",Still there is lot of scope of improvement for open source technologies. Some better service offering in identity management space. Support can be really painful but much better than older Microsoft technologies.
Analista de Controladoria,"Accounting, 1-10 employees",Used the software for: 6-12 months,,"""Microsoft Azure uma ferramenta completa.""",Essa ferramenta foi adquirida no meu local de trabalho e um dos serviÃ§os que mais usamos Ã© o SQL Server. Isso facilitou demais mais a nossa vida na tratativas de dados e anÃ¡lises dos mesmos. Agora estamos buscando ampliar a utilizaÃ§Ã£o do Azure.,"Ã‰ uma das maiores plataformas de nuvem do mercado com uma grande gama de serviÃ§os disponÃ­veis como banco de dados, hospedagem de aplicativos e vÃ¡rios outros.",Exige algumas especificaÃ§Ãµes na implantaÃ§Ã£o e atÃ© acesso aos serviÃ§os da plataforma. Acabamos encontrando uma certa dificuldade mas que foram resolvidas apÃ³s algumas pesquisas.
Engineer,"Construction, Self-employed",Used the software for: 6-12 months,,"""slightly out of use""","At the point when the entrepreneur attempted to contact Microsoft Purplish blue's client service for help, they found it hard to break through to a help delegate and were required to be postponed for extensive stretches of time. At the point when they did at last break through to a delegate, they viewed the help as pointless and not ready to give a palatable answer for their concerns.",Adaptability: Microsoft Purplish blue furnishes organizations with the capacity to increase their figuring assets or down as per their requirements. This can assist organizations with setting aside cash by just paying for the assets they need at some random time.,Intricacy: Microsoft Sky blue can be mind boggling and hard to use for the individuals who are new to distributed computing. This can be a boundary for private ventures or individual clients who might not have the specialized mastery to really deal with the stage.
Senior system administrator,"Computer Networking, 1001-5000 employees",Used the software for: 2+ years,,"""My azure experience as IT admin""","I used multiple accounts for learning azure. Easily we can learn and create new free tier accounts and explore the azure. Good customer support. Without clearly knowing, we used any service it will cost more. Easily we can learn azure with learn.Microsoft.com portal. Good customer support.",There is lots of documentation is available to learn. Azure providing free self study meterial. Also they are giving one month 200 dollar credits for learning.,"These credits only for 30 days , it not enough to learn more. If they increased means it will more helpful to learners"
Administrative Secretary,"Consumer Services, 11-50 employees",Used the software for: 6-12 months,,"""Microsoft Azure, A Great Cloud Computing  Platform.""","It allows us to operate cloud applications and services on a flexible, scalable, and secure infrastructure.",I think what I like about Azure is that it is scalable and secure. We can swiftly adjust to shifting demands thanks to Azure's scalable and flexible architecture for operating apps and services.,"If we develop large apps and services on the platform, leaving Azure may be challenging and expensive."
"Information Technology and Services, 11-50 employees",Used the software for: 1-2 years,,,"""The best cloud computing platform""",Overall Microsoft Azure is the best and easy-to-use cloud platform and is the best helper for creating cloud-based applications and APIs.,one of the main reasons why I like azure is its scalability because I can easily scale my applications as the requirements change and it also provides a wide range of security features.,There is not a single thing about Microsoft Azure that I dislike.
"Financial Services, 5001-10,000 employees",Used the software for: 6-12 months,,,"""Great tool for collaborative work""",Overall a good experience as compared to the other market tools.,I like that the user can write down requirements and keep all the documentation related to a particular requirement under a project. The board displays all the tasks or change requests assigned to different users and can be easily filtered as per the user needs.,"Sometimes the navigation doesn't work properly. The attachments sometime don't get saved and there's no auto save feature, so if you make any changes and you navigate to a different page by mistake without saving your work, the changes get lost."
"Information Technology and Services, 10,001+ employees",Used the software for: 2+ years,,,"""Prominent and Trusted well known brand in Tech""",Excellent service and support and especially their Azure SQL and cosmos db engines are easy to deploy and scale as per the need.,"Billing of database services is based on storage, which will surprise us when there is sale season or something like black Friday.",",  and"
Application Developer,"Information Technology and Services, 10,001+ employees",Used the software for: 2+ years,,"""Microsoft Azure""",I am using Azure App services for supporting client  web applications. I feel much comfortable in working in Azure compared to other cloud  providers. The  Azure portal is very user friendly and makes life easier in handling daily activites.,"Being application developer , i like the development feature in the Azure. Deployment of the web applications are extremely easy. Just download the publish profile and import in the application for deployment. I love to use PAAS for web development. We don't have to worry about the environment.  
Authorization and authentication is very easy in the Azure. Resource management  is very easy.",I almost like every feature of Azure .Debugging quality should be improved in Azure as i feel we get less access in debugging the issues in Azure apps.
Business Analyst,"Information Services, 501-1000 employees",Used the software for: 1-2 years,,"""Azure cloud platform""","As I am working as a business analyst I am using this platform for many purposes, the important one is I am using this tool for keeping the data that we have, and also it provides a product for doing data analytics and with the help of that one I am making decisions for the company.","Azure platform is very great product, since it provides all the needed services for the company. For the customers there are a lot of choices and also the cool thing is that the customers only pay as much as they use, no extra charges. The platform is also great for providing secure and reliable data source for the company which is very important for us.","The only problem that I am facing with this platform is that it seems very complex from the first glance. The reason is that there are a lot of services and products and all of them are collected in one place and the user do not know how to start, therefore in the first times it is very time-taking to find and manage the things."
Golf Caddy,"Computer Software, 51-200 employees",Used the software for: 6-12 months,,"""Azure Devops - Best Devops Sofware on the Market""","Azure Devops was an essential part of my team and I's software development experience. Without Azure Devops,  we would not have been able to develop our application as easily and quickly.","Azure Devops has a variety of features that have been very useful for me:
- Azure Boards: Azure boards allowed my team and I to stay organized and informed about our tasks 
                                through Agile methodology.
- Azure Pipelines: Azure Pipelines allowed my team and I to quickly and easily deploy our application to 
                                     both our test and production servers.
- Azure Repos: Azure Repos allowed my team and I to create, maintain, and share various versions of our 
                              application through version control.
- Azure Test Plans: Azure Test Plans allowed my team and I to quickly and easily test our application to 
                                      make sure there were no bugs.",There was nothing I did not like about Azure Devops. Azure Devops made software development much quicker and easier for my team and I.
Software Developer,"Information Technology and Services, 51-200 employees",Used the software for: 2+ years,,"""One of the Best cloud provider""",I'm good with azure as soon as my company pays it's invoices.,"From virtual machine to managed mongo db hosting, everything you need in here. Azure functions work great with C#.","Virtual machines are more expensive than other providers.
Azure functions for .net do not support binding redirect"
Software Developer,"Computer Software, 51-200 employees",Used the software for: 2+ years,,"""Azure and its services""","Its security, easy accessibility, wide popularity.","Its hard to configure sometimes. Also, some services are not available.","Because, since its a Microsoft product, its trustable and cost effective. Its also easy to use and is also used by lots of enterprises."
"Information Technology and Services, 10,001+ employees",Used the software for: 2+ years,,,"""Complete Package for Digital Transformation ""","We were able to review and administer the different workflows and role players incorporating different applications in software development.

When installing we installed selected components to lighten and manage the product.

It also supports Xamarin, which helps in creating apps for Android, iOS and Windows mobile devices.","It's incredible administration, the ability to analyze data and visualize.
Integration with GitHub and Slack alike tools.
Helps you to achieve CI CD and 100 Deployments a day henceforth deploying 26 customers journeys.

Build Migration and Management, source control systems and scheduled to run its builds and test are just cheery on the cake.","Definitely difficult to handle at its full potential: Too many options with not many guides
backlog queries
Passing data between VSTS build"
Office Administrator,"Law Practice, 1-10 employees",Used the software for: 2+ years,,"""It is an effective way to safeguard your practice.""",It has been a positive overall experience with Azure.  It has streamlined our security and data storage.,I feel that the most important thing about Microsoft Azure is the ability to secure our data and client information in the most effective way.  We have been happy with the product thus far.,I feel like there are really no downsides that we have seen.  We have been happy with Microsoft Azure and have really not come across any major issues.
agente,"Real Estate, Self-employed",Used the software for: Less than 6 months,,"""Una plataforma poderosa para la computacion en la nube""",Es una experiencia muy buena ya que me beneficio de la amplia gama de servicios y herramientas que ofrece azure.,"Que ofrece una amplia gama de servicios y herramientas para ayudar a las organizaciones a implementar, administrar y escalar aplicaciones y servicios en la nube.Su amplia disponibilidad geogrÃ¡fica, con una gran cantidad de centros de datos distribuidos en todo el mundo. Esto permite a los usuarios implementar aplicaciones y servicios en ubicaciones cercanas a sus clientes, lo que reduce la latencia y mejora el rendimiento.flexibilidad. Los usuarios pueden elegir entre una amplia gama de opciones de implementaciÃ³n, incluyendo mÃ¡quinas virtuales, contenedores, aplicaciones sin servidor y servicios administrados. tambiÃ©n se integra de manera efectiva con otras herramientas y servicios de Microsoft, como Visual Studio, SQL Server y Active Directory. Esto facilita la migraciÃ³n de aplicaciones existentes a la nube y el desarrollo de nuevas soluciones utilizando las herramientas preferidas por los desarrolladores.","El soporte tecnico porque aveces hay demora en la respuesta, pero entiendo que es algo que ira mejorando con el tiempo"
Owner,"Computer Software, Self-employed",Used the software for: 2+ years,,"""Best cloud""",A very powerful and constantly evolving platform for applications. Very stable and probably the least problematic of all.,You have to be very careful what functions you use because you can sometimes be surprised by the price.,and
iOS Developer,"Information Technology and Services, 201-500 employees",Used the software for: 2+ years,,"""Powerful And Secured Platform To Deploy VMs""","The finest cloud to host your application on is Microsoft Azure. The platform is the safest available. It enables simple resource scaling, making it simple to manage massive amounts of data and high-volume workloads.","Azure Virtual Machines are highly flexible to accommodate changing demands. It can be less expensive than other cloud-based virtualization choices, especially for users who only pay for the resources they really use. It provides network deployment, application deployment, and more, and only charges for what we actually use.","I haven't noticed any errors in my work. However, on occasion, I had log in problems and had to repeatedly reset my password. Although its GUI could be simpler, it is still the greatest cloud provider available."
Web Developer,"Information Technology and Services, 1-10 employees",Used the software for: 2+ years,,"""Microsoft Azure - A to Z package""",All physical servers have been moved to the cloud.Cheaper than physical servers,"A to Z cloud package, with various types of storages and other integrated services. It's the Microsoft eco-system with everything connected.It just works.",Pricing could be better and pricing structure could be more simplified.Different regions has different pricing.
"Industrial Automation, 10,001+ employees",Used the software for: 2+ years,,,"""Azure reviewed with commerce integration experience""",Having Azure blob storage for hotfolder implementations. And the fact that it considers the file as a blob instead for file system terminology.,Requires an Microsoft azure storage explorer additionally to access the repository.,
IT Infraestructure analyst,"Hospital & Health Care, 1001-5000 employees",Used the software for: 2+ years,,""" A robust, secure and scalable cloud infrastructure""","I have used Azure in recent years for the deployment of services or APIs for corporate applications and database hosting as well as for managing vpn to share or have access to services both local and in the cloud, making this a hybrid infrastructure that works perfectly","What I like most about Azure is the number of services and tools that I can have in the cloud to maintain my infrastructure and the high availability of the company, both with the deployment of APIs, the creation of VPNs and the management of virtual machines in my private cloud","What I like least is that sometimes the administration of this tool can become a bit complex due to the number of services and options it has, which should be better organized for easy access"
CTO,"Computer Software, 11-50 employees",Used the software for: 2+ years,,"""Azure is loosing against other cloud players""",Compatibility with Microsoft products and deployment of Microsoft solutions,"Complexity, price, is not so easy when you try to use other products than Microsoft",To have two vendors and implement real redundancy and resilience
Product Owner,"Information Technology and Services, Self-employed",Used the software for: 6-12 months,,"""Azure, the total solution.""",Overall Azure has helped me realize some great features for my clients and I will continue using its features in the future.,"Azure provides all features necessary for development or any project you might have. I have used it mostly for storage, databases, and data automation for my clients and their projects. Some features require some time spent learning all functions. But overall most features are self-explanatory and can be implemented very fast.","The downside to Azure is its UI, because of the size and the number of features it is easy to get lost in this behemoth."
"Information Technology and Services, 51-200 employees",Used the software for: 6-12 months,,,"""Cloud at its best!!!!!""",Great experience as it provides a solid foundation for hosting test and prod environments.,"The ability to get information on consumption, project usage, and scale up or down in terms of usage.","Sometimes the admin navigation is a little confusing at first but once you get accustomed to it, its works"
Student,"Higher Education, 11-50 employees",Used the software for: 1-2 years,,"""One of the best Cloud Computing platform""",My software project has been successfully deployed on cloud on a virtual machine on Azure. The support from azure has been very good since the deployment.,"The most liked offerings of Azure over other cloud services are PaaS capabilities, Net capabilities, Security Offerings, Integrated environment, Gentle Learning curve, Hybrid solutions for my project for seamless cloud connectivity. I deployed my project on a VM on Azure due to the above reasons.","My least liked features of Microsoft Azure are lack of Hyper-V snapshot support and also an inability to upload custom images. While spinning new machine takes longer for creation. Also, there is a lack of integrated backup. Other than these, I haven't found any drawbacks."
"Computer Software, 1-10 employees",Used the software for: 6-12 months,,,"""Everything you need in one place""",I was working with a software team and we were using it for he web server and database server. As it was startup project we were using with the limited money but the money that we paid and what we get is more that excellent and if I ahve the same project in future  am more than welcome to use Azure again.,"Azure is a paltform where all the needed tools have been collected and you just need to pick the ones you need and use them as soon as you pay. In Azure you can find the product for various kind of areas for example you want to deploy a webpage and you need a server just choose the right resources and pay according to your decsion and go on, you want a database and choose and pay you are done, there are many areas like this which you need to manage the infrastructure of your company. Morever the management and maintenace of this paltform is easy. They have really nice customer service and they are always ready to help you.",When I have used this platform first time I was very frustrated or a guy with less experience it is a bit complicated but by the time you can easly learn the things.
"Information Technology and Services, 5001-10,000 employees",Used the software for: 2+ years,,,"""Azure- one stop shop for cloud computing""","Microsoft azure is one of the mature and beat cloud platform nowadays. it comprises of many services that are provided as SaaS, PaaS, IaaS includes azure functions, storage, machine learning, AD, Web app, backup solutions, IOT, stream analytics etc. we can access all of these services through centralize portal. we can try out services using free subscriptions. it has very good pricing models like pay as you go and consumption plans.  day by day many more services are adding in portal for use. so overall experience with azure is very nice for me and help me to easily solve problems.",#NAME?,"Azure services those are in preview state may change in future and due to that you might need to change implementation sometimes.
for some of azure services you may need additional supporting tools like azure storage explorer."
Graphic Designer,"Information Technology and Services, 51-200 employees",Used the software for: 1-2 years,,"""We use it everyday to get more advantages  ,Cloud base Data Warehose ,Web Development and much more""","Overall It is the Best One Industri-Level and Also It has ability to work with anywherewith Remote Acces,And Also If you are going to work with machine learning processess Asure is the best choise for that ,highly Recomened it use Web development Coloud based and more.","Asure gives the simplicity of creating things,testing and management of Cloud based.It is very easy to to use and offers Web applications ,Machine learning things API so on,
 we can able to increase single customer site to more than 10 customers without changing our coades its a grate oppertunity working with Asure,and also Asure gives best buiness solutins for us.
And also mostly when we were working with Asp.net application it very easy to work with  Asure and Asure has ability to work with much accurate and more Relaible.","Some times Cost will be high , with respect similer servicese it will be quit expensive ,but Asure is the Best software platform to get expected outputs"
